codauto,ine.ccaa.name,cpro,ine.prov.name,cmun,name,LAU_CODE,GISCO_ID,CNTR_CODE,LAU_NAME,POP_2024,POP_DENS_2024,AREA_KM2,YEAR,no2_median,pm25_median,nombre_limpio,renta.pc,renta_log,no2_log,pm25_log
"12",Galicia,"15","Coruña, A","044",Mañón,"15044",ES_15044,ES,Mañón,0,0,82.14936796,2024,1.60404752560657,2.72437097448368,manon,16.652,2.81253032933273,0.472530138435908,1.00223756641683
"12",Galicia,"15","Coruña, A","045",Mazaricos,"15045",ES_15045,ES,Mazaricos,0,0,187.24862782,2024,1.42823998327175,3.58351384526706,mazaricos,16.577,2.80801619244273,0.356442905310079,1.27634384006013
"12",Galicia,"15","Coruña, A","046",Melide,"15046",ES_15046,ES,Melide,0,0,101.27037493,2024,1.50710977163989,3.36778903715147,melide,16.273,2.78950729267848,0.410193758159378,1.21425645699294
"12",Galicia,"15","Coruña, A","047",Mesía,"15047",ES_15047,ES,Mesía,0,0,107.0242387,2024,2.21309353002986,3.48847036652232,mesia,15.829,2.7618437007036,0.794391324084477,1.24946334974228
"12",Galicia,"15","Coruña, A","048",Miño,"15048",ES_15048,ES,Miño,0,0,32.50977825,2024,3.21686096165349,3.51461515062039,mino,20.528,3.02178980787328,1.1684060274452,1.25693003153594
"12",Galicia,"15","Coruña, A","049",Moeche,"15049",ES_15049,ES,Moeche,0,0,48.53591748,2024,2.53408377336041,3.05973903171548,moeche,16.016,2.77358822257286,0.929832141084298,1.11832962857431
"12",Galicia,"15","Coruña, A","050",Monfero,"15050",ES_15050,ES,Monfero,0,0,172.5442,2024,2.39667091009185,3.21653442642738,monfero,17.461,2.85996982253999,0.874080653616204,1.16830451488249
"12",Galicia,"15","Coruña, A","051",Mugardos,"15051",ES_15051,ES,Mugardos,0,0,12.75656151,2024,3.2603759765625,3.55322265625,mugardos,18.001,2.89042731190857,1.18184251896249,1.26785498218769
"12",Galicia,"15","Coruña, A","052",Muxía,"15052",ES_15052,ES,Muxía,0,0,121.24263677,2024,1.49172080098097,3.43869870927642,muxia,15.626,2.74893619357455,0.399930353560629,1.23509311763146
"12",Galicia,"15","Coruña, A","053",Muros,"15053",ES_15053,ES,Muros,0,0,72.88311634,2024,1.5523218309922,3.84593198798191,muros,15.568,2.74521752544365,0.439751765593835,1.34701596317817
"12",Galicia,"15","Coruña, A","054",Narón,"15054",ES_15054,ES,Narón,0,0,66.85092491,2024,3.08741285218697,3.39070739309524,naron,17.23,2.84665205053984,1.12733347554342,1.22103857015326
"12",Galicia,"15","Coruña, A","055",Neda,"15055",ES_15055,ES,Neda,0,0,24.57374238,2024,3.07427295156642,3.38280440938868,neda,18.099,2.89585668812673,1.1230684347875,1.21870507239815
"12",Galicia,"15","Coruña, A","056",Negreira,"15056",ES_15056,ES,Negreira,0,0,115.12054526,2024,1.72298977347436,3.60052195242347,negreira,17.073,2.8374982682891,0.544061022226005,1.28107882173679
"12",Galicia,"15","Coruña, A","057",Noia,"15057",ES_15057,ES,Noia,0,0,37.177106,2024,1.71826577137601,3.66998398838909,noia,16.547,2.80620481650971,0.541315509720947,1.3001872992202
