Concello compuesto,id bruto,Concello bruto,,Concello_id,Concello,Renta disponible bruta per capita [miles de euros],2023
15057 Noia ,15057,Noia,,15057,Noia,16.547,"16,547"
15058 Oleiros ,15058,Oleiros,,15058,Oleiros,30.879,"30,879"
15059 Ordes ,15059,Ordes,,15059,Ordes,17.102,"17,102"
15060 Oroso ,15060,Oroso,,15060,Oroso,18.153,"18,153"
15061 Ortigueira ,15061,Ortigueira,,15061,Ortigueira,17.729,"17,729"
15062 Outes ,15062,Outes,,15062,Outes,16.123,"16,123"
15063 Oza dos Ríos ,15063,Oza dos Ríos ,,15063,Oza dos Ríos ,,
15064 Paderne ,15064,Paderne,,15064,Paderne,19.011,"19,011"
15065 Padrón ,15065,Padrón,,15065,Padrón,17.317,"17,317"
"15066 Pino, O ",15066,"Pino, O ",,15066,"Pino, O ",17.580,"17,580"
"15067 Pobra do Caramiñal, A ",15067,"Pobra do Caramiñal, A ",,15067,"Pobra do Caramiñal, A ",17.304,"17,304"
15068 Ponteceso ,15068,Ponteceso,,15068,Ponteceso,17.590,"17,590"
15069 Pontedeume ,15069,Pontedeume,,15069,Pontedeume,17.914,"17,914"
"15070 Pontes de García Rodríguez, As ",15070,"Pontes de García Rodríguez, As ",,15070,"Pontes de García Rodríguez, As ",19.359,"19,359"
15071 Porto do Son ,15071, Porto do Son ,,15071, Porto do Son ,16.243,"16,243"
15072 Rianxo ,15072,Rianxo,,15072,Rianxo,16.412,"16,412"
15073 Ribeira ,15073,Ribeira,,15073,Ribeira,16.083,"16,083"
15074 Rois ,15074,Rois,,15074,Rois,17.106,"17,106"
15075 Sada ,15075,Sada,,15075,Sada,19.900,"19,900"
15076 San Sadurniño ,15076,San Sadurniño ,,15076,San Sadurniño ,17.052,"17,052"
15077 Santa Comba ,15077,Santa Comba,,15077,Santa Comba,16.470,"16,470"
15078 Santiago de Compostela ,15078,Santiago de Compostela ,,15078,Santiago de Compostela ,23.581,"23,581"
15079 Santiso ,15079,Santiso,,15079,Santiso,16.093,"16,093"
15080 Sobrado ,15080,Sobrado,,15080,Sobrado,16.131,"16,131"
"15081 Somozas, As ",15081,"Somozas, As ",,15081,"Somozas, As ",16.729,"16,729"
15082 Teo ,15082,Teo,,15082,Teo,21.276,"21,276"
15083 Toques ,15083,Toques,,15083,Toques,13.999,"13,999"
15084 Tordoia ,15084,Tordoia,,15084,Tordoia,16.639,"16,639"
15085 Touro ,15085,Touro,,15085,Touro,15.817,"15,817"
15086 Trazo ,15086,Trazo,,15086,Trazo,17.032,"17,032"
15087 Valdoviño ,15087,Valdoviño,,15087,Valdoviño,17.994,"17,994"
15088 Val do Dubra ,15088,Val do Dubra ,,15088,Val do Dubra ,18.682,"18,682"
15089 Vedra ,15089,Vedra,,15089,Vedra,19.060,"19,060"
15090 Vilasantar ,15090,Vilasantar,,15090,Vilasantar,17.509,"17,509"
15091 Vilarmaior ,15091,Vilarmaior,,15091,Vilarmaior,19.183,"19,183"
15092 Vimianzo ,15092,Vimianzo,,15092,Vimianzo,16.846,"16,846"
15093 Zas ,15093,Zas,,15093,Zas,18.013,"18,013"
15901 Cariño ,15901,Cariño,,15901,Cariño,15.193,"15,193"
15902 Oza-Cesuras,15902,Oza-Cesuras,,15902,Oza-Cesuras,17.672,"17,672"
27001 Abadín ,27001,Abadín,,27001,Abadín,16.718,"16,718"
27002 Alfoz ,27002,Alfoz,,27002,Alfoz,16.683,"16,683"
27003 Antas de Ulla ,27003,Antas de Ulla ,,27003,Antas de Ulla ,15.847,"15,847"
27004 Baleira ,27004,Baleira,,27004,Baleira,15.836,"15,836"
27005 Barreiros ,27005,Barreiros,,27005,Barreiros,18.995,"18,995"
27006 Becerreá ,27006,Becerreá,,27006,Becerreá,15.842,"15,842"
27007 Begonte ,27007,Begonte,,27007,Begonte,15.885,"15,885"
27008 Bóveda ,27008,Bóveda,,27008,Bóveda,14.729,"14,729"
27009 Carballedo ,27009,Carballedo,,27009,Carballedo,16.351,"16,351"
27010 Castro de Rei ,27010,Castro de Rei ,,27010,Castro de Rei ,16.578,"16,578"
27011 Castroverde ,27011,Castroverde,,27011,Castroverde,17.138,"17,138"
27012 Cervantes ,27012,Cervantes,,27012,Cervantes,13.900,"13,900"
27013 Cervo ,27013,Cervo,,27013,Cervo,18.522,"18,522"
"27014 Corgo, O ",27014,"Corgo, O",,27014,"Corgo, O",18.587,"18,587"
27015 Cospeito ,27015,Cospeito,,27015,Cospeito,16.210,"16,210"
27016 Chantada ,27016,Chantada,,27016,Chantada,17.070,"17,070"
27017 Folgoso do Courel ,27017,Folgoso do Courel ,,27017,Folgoso do Courel ,13.313,"13,313"
